p,d,q,mae,mse,rmse
1,6,3,8455716511.051734,1.997916517919776e+20,14134767482.770193
1,5,9,56061650.462284,8477946539139221.0,92075765.21071775
1,6,4,30824012586.33482,3.0977391198440296e+21,55657336621.90484
1,6,6,209621990.0583584,1.388335276560721e+17,372603713.95904267
1,6,5,46591293605.77583,2.556829871003127e+21,50565105270.365326
1,5,8,470247.2885777229,545250059092.0719,738410.4949769281
1,6,7,270911892.7679919,2.322919198318672e+17,481966720.66841626
1,7,1,72778325979983.83,1.7431513672698771e+28,132028457813831.83
1,7,2,4380635043238.9697,7.157818192580955e+25,8460388993764.386
1,6,8,,,
1,7,3,5920155838.832226,1.1602859596309034e+20,10771657066.723316
1,7,4,12615289157218.232,5.982352844512659e+26,24458848796524.867
1,6,9,225012685.66071042,1.586973269271211e+17,398368330.7281354
1,7,5,5122832975288.229,9.870236612105145e+25,9934906447523.875
1,7,6,23592983786.504116,2.059581308802361e+21,45382610202.613525
1,8,1,9796712462154464.0,3.625093726975212e+32,1.9039678902164324e+16
1,8,2,2692649429817825.5,3.065319793662529e+31,5536533024973778.0
1,7,7,27213880886742.914,9.161286937242962e+26,30267617906341.69
1,8,3,281824623521347.44,3.0973400564250477e+29,556537515036052.9
1,7,8,130662822804.01479,6.347282660573795e+22,251938140434.78598
1,8,4,1464967290301953.8,9.151479735962085e+30,3025141275372455.0
1,8,6,,,
1,7,9,57735224341.89547,1.225628668947597e+22,110708114831.19008
1,8,5,29139713153700.613,3.487632655402892e+27,59056182194609.33
1,8,8,21480874911579.61,1.9632145712485776e+27,44308177250351.625
1,9,1,1.1404708325122122e+19,5.566480005251738e+38,2.359338891565122e+19
1,9,2,2.3658838650493437e+17,2.63390647600501e+35,5.1321598533220006e+17
1,9,3,1.6694742017300877e+17,1.2136938728263256e+35,3.4838109489843526e+17
1,8,7,103555240124911.89,4.5548106189020585e+28,213420022933698.94
1,8,9,140677407689407.25,8.406254847096231e+28,289935421207830.9
1,9,4,2.0936895770466986e+17,2.0828842471636798e+35,4.563862670111448e+17
1,9,6,7703850798992730.0,2.79695740941446e+32,1.6724106581263048e+16
1,9,5,1.1933300615250802e+16,6.4860032628023436e+32,2.5467632914745616e+16
2,1,1,4.062172781113047,24.87491597018868,4.987475911740194
2,1,2,4.074487350594155,25.11722239163841,5.011708530195906
2,1,3,7.079508637620632,69.6361412999401,8.344827218099852
2,1,4,8.283794364801734,89.49895037269778,9.460388489522922
2,1,5,4.290876249307768,28.557946091292393,5.343963518896101
1,9,7,6534756748212677.0,2.0081119702182127e+32,1.4170786746748442e+16
2,1,6,4.09185905613141,25.32597539533885,5.032491966743598
2,1,7,7.304184350523928,73.19287089697528,8.555283215474242
2,1,8,4.149194165162465,26.519093853701243,5.149669295566585
1,9,8,8553692313253345.0,3.4421567053116906e+32,1.8553050167861052e+16
2,2,1,1455.3378548327585,2820632.294076193,1679.4738146443942
2,1,9,4.051012454968483,24.637199687916805,4.9635873809087725
2,2,2,9.460350425252754,111.61623638060067,10.564858559422396
2,2,3,8.499891217505278,93.8401873613855,9.687114501304581
2,2,4,5.779489215694947,50.1540221488695,7.0819504480665145
1,9,9,5625412791966798.0,1.4772644221288665e+32,1.2154276704637206e+16
2,2,5,6.9504680004480734,67.8619583678719,8.237836995709001
2,2,6,6.282998140421174,57.486624409281944,7.581993432421446
2,3,1,1605.9258517808128,3530707.478207185,1879.0176897004417
2,2,7,6.897456670646481,66.83929067893915,8.175529993764266
2,2,9,10.999320026678907,147.31277236609145,12.137247314201497
2,3,2,1648.7712181423346,3720107.555993285,1928.7580345894312
2,2,8,7.599903810663345,78.32576022539786,8.850184191608548
2,3,3,1927.5025038857361,5093675.859353475,2256.9173355161847
2,3,4,2154.6987748443175,6594297.946522332,2567.9365152827145
2,3,5,1810.2753873543095,4516889.967557528,2125.2976185836956
2,3,6,237.73881950300873,97063.25195050582,311.54975838621
2,4,1,23802.790378198417,1047746473.5374326,32368.91214633931
2,3,7,3766.3023484948244,25166600.981297847,5016.632434342569
2,3,8,659.561159533024,797039.2699488419,892.7705584016768
2,4,3,208736.86817832827,98232764671.74193,313421.06609438674
2,3,9,4004.4965369227857,28633810.82733768,5351.056982254784
2,4,2,59870.026660901174,6623559973.867966,81385.25648953849
2,4,5,212999.6916206902,100985797653.82774,317782.62641911017
2,4,4,388515.2061387366,341925664116.009,584744.1013947973
2,4,6,4570264.490702072,47632508612576.06,6901630.866148671
2,4,7,45393.47937523467,4160217903.8514514,64499.75119216702
2,5,1,105492051.27882542,2.582159293669568e+16,160690985.860115
