p,d,q,mae,mse,rmse
1,1,1,7.574381171390799,77.57713992297492,8.80778859436209
1,1,2,6.622392864065562,62.59315701349353,7.911583723471144
1,1,3,6.98055140741449,68.0876871445642,8.25152635241288
1,1,5,4.0661941441285245,24.81963066802643,4.981930415815382
1,1,4,4.093120973661992,25.31090193576183,5.030994129966942
1,1,7,7.554928208265697,77.26301571143726,8.789938322390963
1,1,6,4.0080402629520595,23.79838643068997,4.8783589895260855
1,2,2,1457.7410718135775,2829960.69706993,1682.2487025020794
1,2,1,1474.665901684181,2896075.231282737,1701.7858946655824
1,1,9,4.018009081954323,24.01208915314092,4.900213174254863
1,2,3,6.937972565960368,67.64289682319281,8.224530188600005
1,1,8,7.979920063489971,84.285987645549,9.180740038011587
1,2,4,6.865209369498718,66.4384852498164,8.150980631176619
1,2,5,6.669369647400633,63.4591534788007,7.966125374283329
1,2,6,7.806613099270268,81.75314342532008,9.041744490158969
1,3,1,1606.2676314518512,3533052.830123272,1879.6416759912704
1,2,7,8.075338295813602,86.39850836705918,9.295079793474565
1,2,8,6.719942050570014,64.07179687837488,8.004486047109763
1,3,2,1648.7802043334452,3720113.102359521,1928.7594723965767
1,2,9,9.225980710590035,107.46735331464961,10.36664619414831
1,3,3,1648.8081077833685,3720277.84396845,1928.8021785472065
1,3,4,1646.7962386030904,3711291.205571148,1926.4711795329688
1,3,7,5282.729944605116,49671513.66195858,7047.802044748319
1,3,5,1453.3599422046204,2890871.460202718,1700.2562925049617
1,3,6,2200.976313049228,6640576.174115898,2576.9315423805688
1,4,1,35617.89508878808,2349497094.1410513,48471.61121874381
1,4,2,35207.509950885986,2700007279.469617,51961.59427374815
1,3,8,53.49757257414241,4038.8106553685784,63.55163770799757
1,4,3,195805.33103331382,86822023350.96439,294655.77094461326
1,4,4,193272.90740200828,84586807379.0457,290838.11197820294
1,3,9,51.863370771120955,4022.5023698635514,63.423200564647885
1,4,5,202887.71158312508,93286476967.2722,305428.34997307014
1,4,7,162480.85576278687,59506471782.551025,243939.48385317007
1,5,1,10124056.52084748,232124940017486.38,15235647.016700221
1,4,6,2296.4796819904413,11357430.338251766,3370.0786842819807
1,4,8,17260.75849777351,564631948.6578922,23761.98536860698
1,5,2,1643510.1549111533,7281893363917.878,2698498.3535140203
1,5,3,1283037.3045259092,4198985588930.093,2049142.6472869313
1,4,9,17909.33495343187,696528744.1837295,26391.831012336555
1,5,4,416198.7619402996,404555800963.5385,636047.0115986228
1,5,5,919293.1716885143,1997281125824.4644,1413251.968271923
1,5,6,,,
1,6,1,119609313250.85315,4.001444973902392e+22,200036121085.72772
1,5,7,2905848.7553468198,22503670248609.094,4743803.352649548
1,6,2,790469734.1294379,2.029282207219787e+18,1424528766.722451
1,6,3,8886694589.185947,2.2241191384608745e+20,14913480943.297157
1,5,9,21827586.708424736,1255276594808855.5,35429882.79417328
1,6,4,33285402444.75005,3.615154580660344e+21,60126155545.32274
1,5,8,3066250.5264314255,22048231939122.08,4695554.486865431
1,6,7,282884665.91276735,2.5131654853432925e+17,501314819.7832668
1,6,6,119659248.43627778,4.5166941712280904e+16,212525155.4811357
1,6,5,42788195.11590972,5791849252977678.0,76104199.96936883
1,7,1,72901138288713.78,1.7493531152909976e+28,132263113349527.56
1,7,2,8822896465923.99,2.917907174115724e+26,17081882724441.482
1,7,3,14283833328.185312,7.017872793347077e+20,26491267982.765713
1,6,8,124908194.43296891,4.707184026865408e+16,216960457.8457883
1,7,4,5390731724035.192,1.0912137895123886e+26,10446117889016.898
1,7,5,1040804522360.3414,4.0634939114492186e+24,2015810981081.6138
1,7,7,,,
1,6,9,127134443.40778224,4.807293632949069e+16,219255413.4553824
1,8,1,9864224377631900.0,3.678056216585757e+32,1.9178259088316012e+16
1,8,2,3652964718667709.0,5.6528852360813955e+31,7518567174722452.0
1,7,6,26957188731.814896,2.728589725081125e+21,52235904558.84846
1,8,3,36080361602341.766,4.924988316992144e+27,70178261000057.164
1,8,4,501792370244494.7,1.0735708944550076e+30,1036132662575120.1
1,7,9,278475119735.1497,2.895884725755102e+23,538134251442.4353
1,7,8,2825024365303932.0,9.850686494636737e+30,3138580331079123.0
1,8,5,155804503132395.4,1.0184502237259201e+29,319131669335075.56
1,8,6,15609408776916.418,1.0164045380249148e+27,31881100012780.53
1,9,1,1.1452597419106064e+19,5.614082053128054e+38,2.3694054218575712e+19
1,9,2,5.313629518640808e+18,1.3407214858678116e+38,1.1578952827729334e+19
1,9,3,3.395429229932297e+16,4.9437909887273583e+33,7.031209702979537e+16
1,8,7,87519054413298.03,3.2065695163720197e+28,179068967617843.25
1,8,8,1.6376320139282675e+18,3.5745958470866064e+36,1.8906601617124657e+18
1,9,4,2.981141274441127e+17,4.224277648131144e+35,6.499444320964019e+17
1,8,9,71176921004450.81,2.1485991264958847e+28,146581005812345.44
1,9,5,542720199147696.56,1.211078600558318e+30,1100490163771725.0
1,9,6,4835937162459006.0,1.0921726625523163e+32,1.0450706495506972e+16
2,1,1,4.062115864573395,24.87386162384836,4.987370211228394
2,1,2,4.074488810810908,25.11724890186027,5.011711175023983
2,1,3,7.0795093791327535,69.63615289730228,8.344827912983124
1,9,7,2.5594826306846664e+24,9.469941191539646e+48,3.077326955580061e+24
2,1,5,4.290820689519799,28.5578088316535,5.343950676386665
