p,d,q,mae,mse,rmse
2,1,4,8.28337404153377,89.49516890433394,9.460188629426685
2,1,6,4.058545008117143,24.728105920040576,4.972736260856851
2,1,7,7.318736259081463,73.42451727227608,8.568810726832288
2,1,8,4.212983203688946,27.530526663867768,5.2469540367595915
2,2,1,1455.3472185081525,2820668.6014647195,1679.4846237654929
2,1,9,4.0510123782109195,24.63719827787536,4.963587238870226
2,2,2,9.460495872600672,111.61904665677957,10.564991559711705
1,9,8,7790113415705962.0,2.851012331192419e+32,1.6884941016161172e+16
2,2,3,8.50692877951189,93.96552755632776,9.693581771271534
2,2,4,5.680007517432059,48.70032638360466,6.978561913718661
2,2,5,6.942645789925485,67.73842057841101,8.230335386751321
2,2,6,6.283627034936745,57.49589122608862,7.582604514682842
2,2,7,6.889119580225511,66.70793087408173,8.167492324702957
2,3,1,1605.5774715673706,3528993.277897832,1878.5614916466886
2,2,9,9.076677455189976,104.704218718231,10.232507938830588
2,3,2,1648.7235909846056,3719892.7737403605,1928.7023548853672
2,2,8,7.870006659866107,82.88576765948329,9.104162106393058
2,3,3,1937.009264750544,5150945.809507921,2269.5695207479152
2,3,4,2075.5951414134306,6076114.730264026,2464.9776328121166
2,3,5,1936.4871704762252,5248503.516545942,2290.9612647414933
2,3,6,300.0584306629066,157408.16540806767,396.7469790786915
2,3,7,4162.329056218094,30913996.329319756,5560.035641011644
1,9,9,1136078376204387.2,5.897083441892627e+30,2428391122099697.5
2,3,8,2872.8658937817586,14645769.87178679,3826.9792097406003
2,4,1,23796.864739111115,1047177185.283104,32360.117201319033
2,4,3,248252.09485473132,139840453065.97083,373952.47434128687
2,3,9,5000.878871485226,44855784.97979092,6697.446153556662
2,4,2,60058.99768838959,6665631130.305009,81643.3165072623
2,4,4,362545.23083223705,297696497101.97217,545615.7045961673
2,4,5,532605.2602071449,639761016803.419,799850.6215559371
2,4,6,4191759.4179478665,40044260219810.71,6328053.43054329
2,4,7,21484.25454335385,906276949.3751895,30104.43404841203
2,5,1,105606827.69930583,2.588506230028563e+16,160888353.52593312
2,5,2,424584.07203390857,470961795636.2947,686266.5631052519
2,4,8,2746972.797818549,17197173353520.732,4146947.4741694923
2,4,9,2164427.228828122,10677306200734.941,3267614.757087338
2,5,3,853638.9031043048,1951185821398.9243,1396848.5320173136
2,5,4,1789915.4308009923,7613620012760.716,2759278.8936170833
2,5,6,10129805.911222834,263184858276696.3,16222973.163902365
2,5,8,50908239.513475336,7104639431094442.0,84289023.19456811
2,5,7,23224878.461333863,1466293341841413.2,38292209.936766684
2,6,1,18443785133.833282,9.557799940082168e+20,30915691711.624645
2,6,2,3706085869.4088755,4.4323219626713375e+19,6657568597.221765
2,5,9,5083881.375874212,66531003948430.58,8156653.96767759
2,5,5,1070407.295694552,2910328988539.0293,1705968.6364464704
2,6,3,14409345925.439945,6.181666242806556e+20,24862956869.219227
2,6,5,14347216765.063377,6.184755952229363e+20,24869169572.443233
2,6,4,63223553.5420192,1.1317952543912422e+16,106385866.27890202
2,6,6,77490048360.8004,1.963827577775595e+22,140136632533.23862
2,6,7,56120135687.38143,1.0324201631390995e+22,101608078573.46283
2,7,1,41962873543391.9,5.794358109966011e+27,76120681223738.47
2,7,2,446490421268.4484,7.408339093232011e+23,860717090177.2551
2,6,9,6643880343.771949,1.4320526502793685e+20,11966840227.392395
2,6,8,82943822259.86105,2.250915459411894e+22,150030512210.41318
2,7,3,82075343018.80351,2.3640558133601274e+22,153754863772.17883
2,7,4,247078114937.78836,2.1952758115178565e+23,468537705154.86334
2,7,5,267319445163.53568,2.354068606264352e+23,485187448958.0653
2,7,6,40797256194228.99,6.258219342072701e+27,79108908108206.75
2,8,1,1.932920592635886e+16,1.4128090935735176e+33,3.7587352840729784e+16
2,8,2,1970130972131900.8,1.643693506298488e+31,4054249013440699.0
2,7,8,1906295235559.9736,1.3406483386852225e+25,3661486499613.5415
2,7,7,88424484246.08386,2.9119731924042653e+22,170645046585.13428
2,8,3,22828389635296.375,2.0442085391992561e+27,45212924470766.72
2,8,5,,,
2,8,4,68496926818357.72,1.993374850106708e+28,141186927514791.8
2,7,9,3.546002206715935e+17,1.5776213804032688e+35,3.971928222417002e+17
2,8,6,414207709450248.44,7.300818474748296e+29,854448270801006.1
2,9,1,3.227396626565916e+18,4.461250925708405e+37,6.679259633902851e+18
2,8,7,1.3208620254768034e+16,7.380071377607523e+32,2.7166286786396704e+16
2,9,2,4.3256003032823035e+18,8.8858347247286e+37,9.426470561524392e+18
2,8,8,3833132119789051.5,6.2230850102660785e+31,7888653250248789.0
2,9,3,4.2329868990014824e+16,7.945057430761252e+33,8.913505163941541e+16
2,9,5,5.8899531682234004e+29,5.10392457322285e+59,7.144175650992108e+29
2,9,4,1.4942536031064878e+30,3.286926523185597e+60,1.8129882854518385e+30
2,8,9,540439632773027.0,1.2389272731715957e+30,1113071099782756.8
2,9,6,3.842356442907803e+17,7.014805877754307e+35,8.375443795856018e+17
3,1,1,6.320193230547382,58.07248712438169,7.620530632730354
3,1,2,8.3109781547478,89.87390999997302,9.480185124773303
3,1,3,7.754885161294134,80.547960491606,8.974851558193372
3,1,4,4.014830293201831,23.935100689823173,4.892351243504821
2,9,8,4.601184483250259e+17,1.0027678758268998e+36,1.0013829815944047e+18
3,1,5,4.208173237996623,27.346752064563525,5.229412210235824
2,9,7,2267478859263257.0,2.339647341816819e+31,4836990119709590.0
3,1,6,4.007928802113795,23.783775393918244,4.876861223565649
3,1,7,6.788978567419498,65.13461639318292,8.070601984559945
3,2,1,1408.5323753118143,2642035.4876039946,1625.433938246644
3,1,8,4.299611636164778,28.771335766966665,5.363891848925244
3,1,9,4.182058223912006,27.132837191648104,5.208919004135897
3,2,2,8.019340970283853,85.44136845455733,9.243450029862082
3,2,3,9.475955962395526,112.12459704298041,10.588890264941856
2,9,9,7.294771577860434e+17,2.5106917952586146e+36,1.5845162653815247e+18
3,2,4,8.584707959240196,95.70424831376339,9.782854814100196
3,2,5,9.385796417538831,111.5777077040151,10.563034966524304
3,2,6,10.692551405974625,141.6047341983539,11.899778745773128
3,3,1,1607.2264528793146,3537300.6814648905,1880.7712996174976
3,2,7,7.21623913702526,71.83358031003597,8.475469326829987
3,3,2,1647.2592537280007,3713340.9370084475,1927.0030973012076
3,3,3,3796.724743054285,22693456.345147945,4763.764933867743
3,2,8,10.681732392658352,136.61108840630297,11.688074623576929
3,2,9,7.343656490681545,73.91134725144406,8.597170886486092
3,3,4,5345.602747417773,46224613.962111875,6798.868579558799
3,3,5,2220.1975170171613,7115238.120454304,2667.44036867824
3,3,6,2086.258511922935,6321900.616393311,2514.339001883658
3,4,1,164354.62284243287,49360174684.85436,222171.49836298617
3,3,8,3910.5275057187296,27029368.507896885,5198.977640642137
3,3,7,1490.511662877075,3113122.206190708,1764.4042071449242
3,3,9,4055.3130372127152,29183904.088622067,5402.2128881248345
3,4,2,42100.875525866526,3273397833.9783635,57213.61580933654
3,4,3,222076.6390421938,91888897265.3302,303131.8150002243
3,4,4,233945.76156742865,123024613104.11592,350748.646617654
3,4,5,50052.51039390259,5556192100.6842165,74539.86920222102
3,4,7,383804.91515357676,332714380191.84973,576813.9909813646
3,4,6,96148.26287951643,20690303571.285984,143841.24433307015
3,5,1,82090493.56100312,1.564458177618873e+16,125078302.57957904
3,4,8,36894.39195985581,2941616879.2250843,54236.67466968347
3,5,2,105332834.10787001,2.5748059098901744e+16,160462017.62068725
3,5,3,1049130.9957303738,2945700434639.923,1716304.2954674216
3,4,9,1068552.2913577813,2601389024584.5684,1612882.2103875312
3,5,4,271476002.2082535,2.0333067101559664e+17,450922023.20977473
