degree,λ,mae,mse,rmse
23,0.001,32.472669515771095,3717.4576074304564,60.97095708147
2,100000,16.599259841375908,296.8990743684138,17.23075954125104
20,10000,4.854024775632337,33.16256070995349,5.758694358094853
17,1e-05,210.28354908831034,117079.89874528325,342.1694006559956
50,100,5.183351566939446,43.831541758223345,6.620539385746704
15,1e-05,193.73665753978884,98465.63093873046,313.79233728491596
43,0.001,44.11031179325462,7368.614533227883,85.84063451086486
9,10000,4.860648793357718,33.288236923747,5.769595906451942
38,0.0001,349.7161464785539,365121.6466861099,604.2529658066312
17,10000,4.8541346241247085,33.165099979616066,5.758914826563775
9,1,12.602078208083478,234.00365205857227,15.297177911581347
23,0.0001,313.93159356314266,286941.38011656015,535.6690957266063
18,0.0001,232.28694490085803,152199.1511144933,390.1270961039406
50,10,15.717516024110132,388.80493696692025,19.718137259054675
14,100000,16.353932043083322,288.9180880905463,16.997590655458975
43,0.0001,349.95966125612995,365764.9520576516,604.7850461590891
9,0.1,15.821382078689153,393.0565494889391,19.82565382248311
38,1e-05,158.2969675490603,58945.56920950726,242.78708616709264
23,1e-05,202.5215589859792,107384.08861758902,327.6951153398369
17,1000,8.210373850860975,88.44892306879512,9.404728761043303
20,1000,8.20657512694642,88.3796714626872,9.401046296167635
50,1,13.611293278494124,278.69270750912153,16.694091994149353
14,10000,4.854570878119773,33.17427408511194,5.75971128487461
9,0.01,32.63962003362814,1828.0135746646379,42.75527540157633
37,100000,16.353113421945213,288.89208052591044,16.996825601444243
42,100000,16.35311326074631,288.89207538197996,16.996825450123914
22,100000,16.353151220023385,288.8932808660609,16.996860912123182
17,100,5.147418869229273,43.187473046800605,6.571717663351082
16,0.0001,178.87102091681675,89222.69150315179,298.7016764317733
55,0.1,28.21848003684779,1456.2176887272988,38.16042044746492
22,10000,4.854000945069076,33.1619710688178,5.758643162136181
9,0.0001,32.750877939841885,1669.0280668745984,40.85373993742309
50,0.1,28.218456490695708,1456.2140044709988,38.16037217416778
14,1000,8.221772781345466,88.65593283427951,9.415727950311622
42,10000,4.85398203085884,33.161466264341044,5.758599331811603
