p,d,q,mae,mse,rmse
1,1,1,7.574381171390799,77.57713992297492,8.80778859436209
1,1,2,6.622392864065562,62.59315701349353,7.911583723471144
1,2,2,1457.7410718135775,2829960.69706993,1682.2487025020794
1,2,1,1474.665901684181,2896075.231282737,1701.7858946655824
2,1,1,4.062115864573395,24.87386162384836,4.987370211228394
2,1,2,4.074488810810908,25.11724890186027,5.011711175023983
2,2,1,1455.3472185081525,2820668.6014647195,1679.4846237654929
2,2,2,9.460495872600672,111.61904665677957,10.564991559711705
