degree,λ,mae,mse,rmse
22,0.001,29.51548172489911,2968.461860394636,54.48359257973575
7,1e-05,25.882872252263322,991.8500082097258,31.493650283981466
17,1000000000,19.04909374391213,384.12984512665514,19.5992307279305
19,0.1,27.36003936795292,1348.5743649558144,36.722940581546766
8,100000,16.3638561676281,289.2348433016456,17.006905753300497
3,1000000000,19.049108802565673,384.13041293295004,19.59924521334814
5,100,4.377317106272359,29.726805443431477,5.4522294012111665
6,1e-07,7.076606580096213,66.40741318193201,8.149074375776184
13,10000,4.85492030523611,33.181282466030964,5.760319649640198
16,0.1,26.01454298721232,1197.0019636149273,34.597716161835415
9,1e-06,67.86453715982007,11665.951350191166,108.00903365085333
7,1e-07,29.4011647800281,2227.5692603098964,47.19713190766888
1,1e-06,7.950100617098914,83.66530925692886,9.146874288899397
22,0.0001,303.1271274458277,266099.1346710143,515.8479763176496
17,100000000,19.046467923225347,384.02998740942013,19.596683071617505
19,0.01,52.6838545192399,5276.36032878317,72.63855951753979
8,10000,4.865210586029494,33.37032349788674,5.776705245889454
3,100000000,19.046618494887994,384.0356641233391,19.59682790972404
20,10000000,19.02022913093231,383.0329097592721,19.571226577792004
5,1,11.680062021205305,199.83731672069302,14.136382731119479
13,1000,8.229378042182464,88.79366356429361,9.423038977118454
16,0.01,51.81945567660125,5076.244271438458,71.24776678211366
7,1e-08,45.62351457734071,5240.602047849871,72.3920026511898
12,0.1,21.60169458607472,783.309996103408,27.987675789593677
1,1e-07,7.9501006051788154,83.66530905652964,9.146874277944878
22,1e-05,207.0213877813706,112889.15003303856,335.98980644215766
4,1e-08,12.066092347651963,216.78993316116475,14.723788003131693
17,10000000,19.020231039382782,383.03298125012276,19.57122840421936
5,0.1,9.258134756719228,126.30439394771447,11.238522765368876
19,0.001,18.14478515804872,813.6171256544602,28.52397457673913
3,10000000,19.021735270033936,383.0896136842969,19.572675179553176
20,1000000,18.759958751327087,373.2174495269023,19.31883665045342
8,1000,8.358103475388228,91.13359569462531,9.54639176310219
13,100,5.043269914024779,41.40476104936984,6.434653141341019
16,0.001,20.821240484850684,569.4952873808732,23.864100389096446
