degree,mae,mse,rmse,time
99,7.438117661798768e+16,7.467841029201091e+34,2.732735082147754e+17,625701936
100,2.4093526248173962e+17,8.047944779117767e+35,8.971033819531485e+17,687144580
101,6.960233692122182e+17,6.803409116418716e+36,2.6083345484079903e+18,647462059
102,3.207747100266652e+17,1.456160510033452e+36,1.2067147591843948e+18,678699745
103,1.1382068152161193e+18,1.8157058289819617e+37,4.2611099833047747e+18,597323323
104,5.2733314762709504e+17,3.965800354915961e+36,1.9914317349374449e+18,666662308
105,4.741032647267843e+17,3.090715150226784e+36,1.7580429887311585e+18,718265014
106,2.615077606731902e+17,1.0458084066679481e+36,1.022647743197993e+18,738408917
107,8.715629110756292e+17,1.0607959228552554e+37,3.256986218661748e+18,730625822
108,1.0181346710433887e+20,1.5256906240066452e+41,3.9060089912936006e+20,670812927
109,3.623575653121529e+18,2.020721785714557e+38,1.4215209410045837e+19,485405045
110,2.429795438363757e+18,8.876296984491416e+37,9.421410183455242e+18,696333979
111,7.84610458945582e+18,9.344304451927864e+38,3.0568455067156836e+19,733991753
112,1.0398493110709147e+18,1.8591151466839551e+37,4.31174575628475e+18,723261757
113,1.0810572211319763e+19,1.7639916432445633e+39,4.19999005146984e+19,720736981
114,1.0994470194805256e+19,1.9269596563133533e+39,4.389714861256199e+19,742207364
115,3.660036028368134e+19,2.0873032562296762e+40,1.444750240086388e+20,720783443
116,4.7476890740316635e+19,3.650832249081974e+40,1.9107151145793487e+20,707586209
117,2.1152111191823452e+18,8.0869962728612715e+37,8.992772805348344e+18,693637252
118,3.042516962139081e+19,1.41184816616009e+40,1.1882121721982525e+20,666861512
119,1.5387420846506201e+19,3.760172823550526e+39,6.132024807150185e+19,780136807
120,1.5003532784511437e+21,3.6051614368460183e+43,6.00429965678431e+21,772317234
121,7.736070227081293e+19,9.785998636848234e+40,3.128258083478445e+20,765681354
122,7.885579744165102e+20,9.893336851441105e+42,3.145367522475093e+21,764237083
123,1.5245345476987165e+20,3.710780446203599e+41,6.0916175571055e+20,792675673
124,4.4583555304880037e+21,3.2775913477678527e+44,1.8104119276473663e+22,712645473
125,3.6275332673131636e+20,2.2035293589337343e+42,1.4844289672913737e+21,753811156
126,1.9164130234614465e+21,5.883387098646241e+43,7.670324047031025e+21,709206835
127,1.7129341456324598e+21,4.952501667025417e+43,7.037401272504942e+21,792190186
128,6.381459354757108e+20,7.01292900868749e+42,2.648193536863854e+21,782768469
129,5.34380834905445e+20,4.792902007139867e+42,2.1892697428914206e+21,737546065
130,4.768253133088524e+20,4.158302962161532e+42,2.0391917423728284e+21,790890560
133,3.9501342324223823e+21,2.762858435247096e+44,1.6621848378706552e+22,696183408
131,1.1097941668952204e+21,2.2226393934303814e+43,4.714487664031354e+21,801327282
132,1.2087250445380952e+20,2.641392402847731e+41,5.1394478330339446e+20,797546847
134,4.065829841223886e+22,2.933235310164251e+46,1.7126690603161637e+23,822606083
137,4.050202551746503e+22,2.95220523660149e+46,1.7181982529968682e+23,751430959
135,8.131202614258614e+21,1.171845407604473e+45,3.4232227616742575e+22,820116442
136,3.4466180892090077e+21,2.1383364630137377e+44,1.4623051880553997e+22,803805631
138,9.175507024615528e+22,1.5048640806730541e+47,3.879257764924953e+23,850453040
139,3.1691310529817516e+22,1.8311355241329076e+46,1.3531945625566589e+23,863292610
140,1.939403895180574e+22,6.954669655944115e+45,8.33946620350734e+22,881061853
141,5.984207646742268e+24,6.621703589253836e+50,2.573267104140928e+25,876295402
142,6.51970536538041e+22,8.943504956444972e+46,2.99056933650517e+23,763632553
143,2.4637436787045997e+23,1.1321475204728405e+48,1.0640242104730703e+24,559679758
145,6.0365146799295134e+23,6.610281615212026e+48,2.5710467936644065e+24,745889900
144,1.0398616335429954e+24,2.0388618886441292e+49,4.5153758300324563e+24,779464744
146,4.74552090716258e+23,4.315940498254371e+48,2.0774841752115397e+24,710181588
147,1.2082956264629303e+25,2.800163709096344e+51,5.291657310423969e+25,694552923
148,2.6817664061532392e+23,1.481673166298442e+48,1.217239978927098e+24,768979425
149,3.74009314428718e+24,2.769890920309507e+50,1.664298927569656e+25,765202179
150,1.0096994433910783e+25,1.9889183161465634e+51,4.459729045745451e+25,773395472
151,3.90348566494076e+23,3.1354629233998075e+48,1.7707238416534092e+24,772239284
152,4.3932184386418045e+24,3.799834720775702e+50,1.9493164752742695e+25,576800483
153,1.3675367020888362e+26,3.7579725439876573e+53,6.1302304556905995e+26,696191053
154,2.8579839264218917e+24,1.5512282607230752e+50,1.245483143492145e+25,766801288
155,1.7174987474300326e+25,5.98078528642632e+51,7.733553702164562e+25,665377788
156,7.936423245344207e+23,1.3903357448027222e+49,3.728720618124563e+24,772013429
157,3.8694391046892973e+24,3.0366875785361647e+50,1.7426094165177018e+25,735926477
158,2.1037649244098987e+23,1.3798792143177001e+48,1.1746826015216622e+24,365391517
159,4.726622878799505e+25,4.707388365541568e+52,2.1696516691721663e+26,642343743
160,1.1463903093252732e+25,2.7104380123735857e+51,5.20618671618065e+25,707319369
161,1.7101893848035942e+26,6.192593468543116e+53,7.869303316395369e+26,819048421
162,2.534504761388364e+25,1.340459458390376e+52,1.1577821290684944e+26,781163976
163,9.759690253995963e+25,1.966773979423286e+53,4.4348325553771315e+26,828857068
164,3.1971315418203663e+25,2.0825627760869145e+52,1.4431087194272352e+26,681421683
167,2.5722634689711165e+26,1.4191777205953299e+54,1.1912924580451813e+27,424706266
166,2.8966122212824694e+25,1.9465050015266496e+52,1.3951720329502916e+26,875860075
165,3.8684206404739188e+25,3.2047775420060597e+52,1.790189247539505e+26,904158716
168,8.106762987476654e+26,1.4310235193259571e+55,3.7828871504790584e+27,854026216
169,1.7549133153899092e+26,6.614879623343582e+53,8.133191024034528e+26,697195272
170,3.979133693206814e+26,3.4982804083775856e+54,1.870369056731207e+27,779725902
171,1.805828318552501e+27,7.300060498942622e+55,8.544039149572422e+27,828401961
172,1.4346686268232099e+26,4.596714206208742e+53,6.779907231082696e+26,791066745
173,5.186487694958907e+26,6.007317232351639e+54,2.4509829114768708e+27,849894422
174,9.381135869271895e+27,1.9731860903272443e+57,4.442055932028822e+28,738757707
175,1.768439399998542e+27,7.106910619078256e+55,8.430249473816452e+27,717717014
176,4.594684322732289e+27,4.700034687121126e+56,2.167956338841058e+28,738425967
