,polynomial-regression-model-degree,residuals-min,residuals-max,residuals-µ,residuals-σ,mse,mae,rmse
163,164,3.2776509757009303e+21,7.214328276176473e+23,1.4395041428290902e+23,1.3128015357707182e+23,3.7956200495440696e+46,1.4395041428290902e+23,1.9482351114647506e+23
164,165,3.153807223841517e+21,7.061532436763728e+23,1.6327480427304204e+23,1.3332111844692418e+23,4.443318233433898e+46,1.6327480427304204e+23,2.107917985461934e+23
165,166,1.3737850137563269e+22,8.438245310292735e+23,1.8147873816350722e+23,1.6940849916425817e+23,6.163377199450527e+46,1.8147873816350722e+23,2.4826149921908003e+23
166,167,3.942172149838147e+21,1.1203421144698821e+24,2.4696763503434016e+23,2.4654085571674985e+23,1.217754062920023e+47,2.4696763503434016e+23,3.489633308701679e+23
167,168,4.0437578052233813e+21,1.0728523167851514e+24,2.368265644256494e+23,2.3470510355884147e+23,1.1117330725422275e+47,2.368265644256494e+23,3.334266144959379e+23
168,169,1.8861932996461676e+21,5.457155871373554e+23,1.3152354910566022e+23,1.1510856521691019e+23,3.05484257556447e+46,1.3152354910566022e+23,1.7478107951275705e+23
169,170,2.967021795400932e+22,1.603751731502076e+24,3.783497245624059e+23,3.35518338411578e+23,2.557210694869146e+47,3.783497245624059e+23,5.056887080872131e+23
170,171,8.427635548614277e+21,8.493838975577715e+23,2.26496181866432e+23,2.0329712539057686e+23,9.263024159214375e+46,2.26496181866432e+23,3.0435216705675637e+23
171,172,1.4162736362675583e+22,6.145941848149123e+23,1.5138401802949364e+23,1.35094459037239e+23,4.1167633777318305e+46,1.5138401802949364e+23,2.0289808717018086e+23
172,173,6.973734089478551e+22,2.820371824623178e+24,8.611333643155398e+23,6.851889245428188e+23,1.2110345334535452e+48,8.611333643155398e+23,1.1004701420091075e+24
173,174,1.157717741588904e+23,1.4490044245479877e+25,4.354434253655866e+24,3.5158199944938383e+24,3.132208790309417e+49,4.354434253655866e+24,5.596613967667787e+24
174,175,1.2229785594633405e+22,7.550460027684752e+23,2.4534282572714812e+23,2.119119637487023e+23,1.050997825156131e+47,2.4534282572714812e+23,3.241909661227671e+23
175,176,1.1917581768310634e+22,1.1047871451308713e+24,3.0205358639246145e+23,2.55741697779542e+23,1.5664018503571079e+47,3.0205358639246145e+23,3.957779491529446e+23
176,177,1.726417225608453e+21,8.752795191801034e+23,2.6313056739548578e+23,2.210929465857202e+23,1.1811978652782642e+47,2.6313056739548578e+23,3.436855925520103e+23
177,178,6.045891900586909e+21,5.614466293302152e+23,1.8528295797955202e+23,1.538547648338327e+23,5.80010631797264e+46,1.8528295797955202e+23,2.408340988724944e+23
178,179,2.195147664048608e+22,4.835501723036061e+23,1.643359048783095e+23,1.334581324456297e+23,4.4817362748048027e+46,1.643359048783095e+23,2.1170111654889312e+23
179,180,4.2059881309570775e+21,4.3826393743294243e+23,1.203656968944159e+23,8.854991136403071e+22,2.2328987791456095e+46,1.203656968944159e+23,1.4942887201426668e+23
180,181,1.5468181689723915e+22,3.8223363390160884e+24,1.1204133071671153e+24,9.235106095069963e+23,2.108197824749137e+48,1.1204133071671153e+24,1.4519634378141678e+24
181,182,4.119568001771634e+22,8.259515145610005e+24,1.8814552965249707e+24,1.7818484393377096e+24,6.714857893592095e+48,1.8814552965249707e+24,2.591304284253799e+24
182,183,7.317973607875418e+21,2.6527364341841447e+24,7.335966767941704e+23,6.164504963521683e+23,9.181752986562851e+47,7.335966767941704e+23,9.582146412241283e+23
183,184,1.9887941397624369e+21,4.705090119679858e+23,1.5396232158882538e+23,1.2773523681257083e+23,4.002068719258444e+46,1.5396232158882538e+23,2.0005171129631568e+23
184,185,4.7759596240001774e+20,3.379931222270597e+23,1.0940766467635043e+23,8.10603297603831e+22,1.8540814150794783e+46,1.0940766467635043e+23,1.3616465822964042e+23
185,186,3.1005774561892856e+21,3.48861751174818e+23,7.693940323548333e+22,5.822856625972034e+22,9.310237698894947e+45,7.693940323548333e+22,9.64895730060764e+22
186,187,2.1886284839320038e+21,3.1575441790929245e+23,8.985708538967924e+22,7.562383202032163e+22,1.3793259764165928e+46,8.985708538967924e+22,1.17444709391977e+23
187,188,3.645558844312858e+21,3.4911567900486954e+23,9.61283133985755e+22,7.010194002346755e+22,1.4154934631908595e+46,9.61283133985755e+22,1.1897451253066178e+23
188,189,2.2950111297636904e+21,3.4849376967005004e+23,9.500542717665604e+22,6.857225133593977e+22,1.3728184846298184e+46,9.500542717665604e+22,1.1716733694293041e+23
189,190,1.970004663566979e+22,5.8713420457978325e+23,1.8735098268170075e+23,1.3976235459988536e+23,5.463390647510305e+46,1.8735098268170075e+23,2.3373897080954013e+23
190,191,1.4718114816802538e+22,1.1503078756488878e+24,3.730687874258954e+23,2.5346033333751336e+23,2.034224607269914e+47,3.730687874258954e+23,4.510237917527094e+23
191,192,5.8853333774168595e+20,3.623256912994243e+23,1.045852403036155e+23,8.347427147368629e+22,1.7906026487427677e+46,1.045852403036155e+23,1.3381340174820935e+23
192,193,2.3639504591828613e+22,1.6675677065659867e+24,3.780735826206988e+23,3.4990268991911916e+23,2.653715262882857e+47,3.780735826206988e+23,5.151422388896932e+23
193,194,2.9650081097755065e+22,1.4347146319243116e+24,3.128567369054124e+23,3.0214324547442458e+23,1.891698786129208e+47,3.128567369054124e+23,4.349366374690925e+23
194,195,5.999808933404026e+21,3.672510357728414e+23,1.1769653972374568e+23,8.37609397993642e+22,2.0868370499015957e+46,1.1769653972374568e+23,1.44458888612006e+23
195,196,1.201500853875004e+21,3.6594023800948124e+23,1.1657868483705021e+23,8.260750727794716e+22,2.0414590017012371e+46,1.1657868483705021e+23,1.4287963471752149e+23
196,197,3.9936316111405093e+21,8.00568427421386e+23,2.633873374727812e+23,1.723015826964201e+23,9.906072494069204e+46,2.633873374727812e+23,3.147391379232841e+23
197,198,2.2947209448267687e+22,6.39737881789742e+23,2.395595349510444e+23,1.4186476820046434e+23,7.751438324253217e+46,2.395595349510444e+23,2.784140500092123e+23
198,199,2.43943731037865e+21,5.734894078575881e+23,1.2751754843005495e+23,1.0106398022820766e+23,2.647465325717896e+46,1.2751754843005495e+23,1.6271033543441228e+23
199,200,6.296857640684602e+20,7.594466205461692e+23,1.2613215304430016e+23,1.1663418665522762e+23,2.9512853528317227e+46,1.2613215304430016e+23,1.7179305436576073e+23
200,201,2.1085334219995976e+21,7.232346434579286e+23,1.2776961233237481e+23,1.1248930944111831e+23,2.897891857410501e+46,1.2776961233237481e+23,1.7023195520848902e+23
201,202,8.299984701362882e+21,4.33549696717131e+23,1.2016957327981123e+23,8.255446502753225e+22,2.1255966038233963e+46,1.2016957327981123e+23,1.4579425927735962e+23
202,203,3.17859399813095e+21,4.822562635356478e+23,1.1962784935512901e+23,8.617168032012913e+22,2.1736380830527972e+46,1.1962784935512901e+23,1.47432631498349e+23
203,204,1.0931155899436488e+21,4.363264779276582e+23,1.5711706205079643e+23,1.0473558198725931e+23,3.565531332168373e+46,1.5711706205079643e+23,1.888261457576353e+23
204,205,1.569303423416579e+21,4.854721824662652e+23,1.7181069676589077e+23,1.1703650886468466e+23,4.3216459930414283e+46,1.7181069676589077e+23,2.0788568957582022e+23
205,206,1.1404931645512677e+22,3.591976308504832e+23,1.1998319884215714e+23,9.050168907127327e+22,2.2586523729150043e+46,1.1998319884215714e+23,1.5028813568991414e+23
206,207,2.0230620261178975e+21,5.7044367876478375e+23,1.1937881993733198e+23,9.69309009759126e+22,2.3646902213632107e+46,1.1937881993733198e+23,1.537754928902265e+23
207,208,1.1516571501438582e+21,3.382760276034205e+23,9.678149206579706e+22,7.480253709649276e+22,1.496207676255411e+46,9.678149206579706e+22,1.2231956819149628e+23
208,209,1.8109750060797441e+22,3.2231043356670315e+23,1.0432574854740383e+23,7.669040897828525e+22,1.6765280639232787e+46,1.0432574854740383e+23,1.2948081185732807e+23
209,210,6.891336815318336e+21,3.971384229057035e+23,9.714058147142657e+22,7.877356982083167e+22,1.5641567870924303e+46,9.714058147142657e+22,1.250662539253667e+23
210,211,7.052934273614944e+21,3.96319907405318e+23,9.709230586651638e+22,7.867457592868712e+22,1.5616604756035928e+46,9.709230586651638e+22,1.2496641451220374e+23
211,212,3.3396771200814977e+21,2.8852329190684834e+23,8.816269304272082e+22,6.504965804867472e+22,1.2004118456794527e+46,8.816269304272082e+22,1.0956330798581488e+23
212,213,3.5054095553903717e+21,2.8886376291272654e+23,8.979442366125646e+22,6.04379880580707e+22,1.1715788921164715e+46,8.979442366125646e+22,1.0823949797169568e+23
213,214,1.7110937863049275e+23,3.1757835711463394e+24,1.0345726374409003e+24,7.457250882573804e+23,1.626446449397898e+48,1.0345726374409003e+24,1.2753220963340586e+24
214,215,2.1255848076909216e+21,8.598376899021915e+23,2.1193811059886605e+23,2.1656423191137484e+23,9.181782926758096e+46,2.1193811059886605e+23,3.030145693982072e+23
215,216,2.2016203506782097e+20,8.658949986633988e+23,2.1334640010349498e+23,2.1884991068485675e+23,9.341196984389035e+46,2.1334640010349498e+23,3.056337184341583e+23
216,217,2.6355601486308746e+22,4.6824058364023154e+24,1.2059042317735303e+24,9.68920402509532e+23,2.3930117626085417e+48,1.2059042317735303e+24,1.546936250337596e+24
217,218,3.20164179594652e+21,3.5085582154833595e+23,9.086583452556701e+22,8.224536733668927e+22,1.5020900332374679e+46,9.086583452556701e+22,1.2255978268736722e+23
218,219,1.51225077187883e+22,9.802342731671297e+23,2.4290535115385274e+23,2.462360891028823e+23,1.1963522119585906e+47,2.4290535115385274e+23,3.458832479260293e+23
219,220,6.34327843511986e+20,3.866610128169866e+23,9.820119858946844e+22,9.20071423177752e+22,1.810878964189155e+46,9.820119858946844e+22,1.345689029526939e+23
220,221,3.2411272759628033e+22,9.882074597294364e+23,2.6485548098250977e+23,2.2255212984815842e+23,1.1967787630642816e+47,2.6485548098250977e+23,3.4594490357053704e+23
221,222,2.0700069113513116e+23,1.1083679643736776e+25,3.7013259133796776e+24,2.690842856287649e+24,2.094044879429018e+49,3.7013259133796776e+24,4.5760735127716405e+24
222,223,2.9683121961276465e+22,5.222443535032585e+24,1.670058179514487e+24,1.2737403202665505e+24,4.411508726435978e+48,1.670058179514487e+24,2.1003591898615764e+24
223,224,7.333048464551976e+22,5.271875095674291e+24,1.7063829200524095e+24,1.260681755073676e+24,4.5010611574222324e+48,1.7063829200524095e+24,2.1215704460192296e+24
224,225,3.7697909638610446e+20,2.832741900961018e+24,8.275357832390998e+23,7.127506474009136e+23,1.192828957911572e+48,8.275357832390998e+23,1.0921670924870296e+24
225,226,3.3819912604407793e+21,4.6914708331908826e+23,1.5095779239611851e+23,1.0385444244851708e+23,3.357400030140197e+46,1.5095779239611851e+23,1.8323209408125525e+23
226,227,1.8496106534363972e+21,6.681035058465196e+23,1.8226731335987035e+23,1.3945437852778821e+23,5.266889720999681e+46,1.8226731335987035e+23,2.2949705272616642e+23
227,228,1.4491834212493421e+21,1.04455387744229e+24,2.595097402781079e+23,2.2521516582859235e+23,1.180671762184114e+47,2.595097402781079e+23,3.436090456003907e+23
228,229,1.5613723953599564e+21,5.119070875958571e+23,1.961100655513252e+23,1.5107590744494355e+23,6.128308762085823e+46,1.961100655513252e+23,2.4755421147873497e+23
229,230,4.978187045541174e+21,2.0149646582660347e+24,4.435750719664064e+23,4.560668334876333e+23,4.047558010774392e+47,4.435750719664064e+23,6.36204213344614e+23
230,231,1.3622466844756692e+22,2.632406940490334e+24,6.475373878957588e+23,5.856190676458572e+23,7.622543611132656e+47,6.475373878957588e+23,8.730717960816658e+23
231,232,1.529676534173774e+22,6.262204516165195e+23,2.355233938716136e+23,1.5861163468324437e+23,8.062891971769419e+46,2.355233938716136e+23,2.8395231944411757e+23
232,233,4.015498285634254e+21,5.878690282599901e+23,2.029811125795816e+23,1.5658239709906073e+23,6.571937914533273e+46,2.029811125795816e+23,2.563579121956893e+23
233,234,2.7755180422161855e+21,1.5801334198426802e+24,2.953241727278317e+23,2.793955558610893e+23,1.6527824363230519e+47,2.953241727278317e+23,4.0654427019982115e+23
234,235,6.173290108223207e+21,1.7792230506576507e+24,3.6678741873210514e+23,3.468230953620655e+23,2.5481927001668503e+47,3.6678741873210514e+23,5.047962658505756e+23
235,236,2.363399963599092e+22,2.1711315777620893e+24,5.70181678929876e+23,4.6039471818395056e+23,5.370704435189713e+47,5.70181678929876e+23,7.328509012882301e+23
236,237,9.194187668528013e+21,6.006058164445251e+23,1.843547331342539e+23,1.6500958729119387e+23,6.121483152701212e+46,1.843547331342539e+23,2.4741631216840193e+23
237,238,6.645763170811323e+21,4.8173949684296456e+23,1.7536820980841342e+23,1.5219004820175293e+23,5.391581978305958e+46,1.7536820980841342e+23,2.3219780314003745e+23
238,239,3.0451407620488036e+19,3.4818289739474236e+23,8.299999214031442e+22,8.1273814320677e+22,1.349443158952413e+46,8.299999214031442e+22,1.1616553529134245e+23
239,240,1.947033603339572e+21,3.534981334154988e+23,8.328228992578854e+22,8.021547868026486e+22,1.3370462835187128e+46,8.328228992578854e+22,1.1563071752431154e+23
240,241,2.7119167000740616e+21,3.431329269175133e+23,8.424438760862322e+22,7.703890750047492e+22,1.3032110112418683e+46,8.424438760862322e+22,1.1415826782331047e+23
241,242,2.1688892482029795e+21,3.4641838458625855e+23,8.40376942049001e+22,7.70281097290951e+22,1.2995663735713812e+46,8.40376942049001e+22,1.1399852514709921e+23
242,243,3.9479739831990564e+20,2.9949663050364966e+23,8.907665662508419e+22,7.924783161818658e+22,1.421486957168761e+46,8.907665662508419e+22,1.1922612789018861e+23
243,244,1.507264253760636e+21,3.1157453758020446e+23,9.145308214446709e+22,7.980765072656895e+22,1.4732927348216668e+46,9.145308214446709e+22,1.2137927066932257e+23
244,245,9.654402091020494e+20,2.490442398660191e+23,8.644337003577242e+22,7.494059787046468e+22,1.3088549432324171e+46,8.644337003577242e+22,1.1440519844973905e+23
245,246,3.9105932703182325e+21,3.016023413176093e+23,8.435969841063541e+22,7.800377726400581e+22,1.3201147983385997e+46,8.435969841063541e+22,1.1489624877856542e+23
246,247,8.362863194835318e+20,4.2646767104470346e+23,9.309051923717394e+22,1.061790343890065e+23,1.9939832115628478e+46,9.309051923717394e+22,1.4120847041034217e+23
247,248,1.3373220733110893e+21,3.658110388910139e+23,7.62555033121792e+22,7.850788806134369e+22,1.1978390273246238e+46,7.62555033121792e+22,1.094458325988077e+23
248,249,3.984113026099e+19,1.7787213789561722e+23,5.961324993779533e+22,4.9628514547939135e+22,6.016729024381062e+45,5.961324993779533e+22,7.756757714651826e+22
249,250,9.502062305581859e+20,1.778845151926549e+23,5.383988962609021e+22,4.360169446139226e+22,4.799841474854179e+45,5.383988962609021e+22,6.928088823661385e+22
250,251,2.3370591179101019e+21,1.8433196288534347e+23,5.447484812771855e+22,4.337082864737191e+22,4.848537856097696e+45,5.447484812771855e+22,6.963144301317973e+22
251,252,4.967728201082392e+19,3.537048490227048e+23,7.799577609032747e+22,7.53857957442245e+22,1.1766359287922433e+46,7.799577609032747e+22,1.0847285046463208e+23
252,253,6.236173243144796e+20,3.220791989677854e+23,7.45028651204609e+22,7.251375158860577e+22,1.0808921080611614e+46,7.45028651204609e+22,1.0396596116331352e+23
253,254,4.972620493137828e+22,5.711215474938365e+24,1.3952869833013025e+24,1.4035206709492083e+24,3.916696039551765e+48,1.3952869833013025e+24,1.9790644354218903e+24
254,255,9.889853158566312e+20,3.218048198874119e+23,1.1241021117397103e+23,8.746395461259776e+22,2.028599893265132e+46,1.1241021117397103e+23,1.4242892589867874e+23
255,256,6.791579333595736e+21,4.702637444843254e+23,1.4973223127303508e+23,1.187842376496733e+23,3.6529436196015726e+46,1.4973223127303508e+23,1.9112675426537155e+23
256,257,4.381509499821509e+21,3.1385862555533116e+23,1.2422010580603846e+23,8.211092910143512e+22,2.21728393643643e+46,1.2422010580603846e+23,1.4890547123717215e+23
257,258,3.517486147118076e+21,6.232537466754562e+23,1.7225342386181483e+23,1.671651647624441e+23,5.761543434217311e+46,1.7225342386181483e+23,2.4003215272578196e+23
258,259,1.8333569332775187e+21,3.103972399317536e+23,9.591048264538137e+22,7.282661021328571e+22,1.450253583642785e+46,9.591048264538137e+22,1.204264748152492e+23
259,260,3.516043391948569e+21,3.359843212320909e+23,9.84705293364278e+22,7.88817810154815e+22,1.591878052397067e+46,9.84705293364278e+22,1.2616964977351198e+23
260,261,5.074189066881414e+21,4.464996591259034e+23,1.2225584086533597e+23,1.0130760915919848e+23,2.5209722299243264e+46,1.2225584086533597e+23,1.5877569807512502e+23
261,262,5.61735713808183e+21,2.9591381691105563e+23,9.900566483030771e+22,8.316100925483847e+22,1.671787512877456e+46,9.900566483030771e+22,1.2929762228585086e+23
262,263,8.086254407335595e+20,2.719621428116776e+24,7.665518536508567e+23,5.9888282106939196e+23,9.462623777075977e+47,7.665518536508567e+23,9.727601850957911e+23
263,264,3.657520395393377e+21,2.642875560474925e+23,8.868643974384348e+22,7.142346741092876e+22,1.296659629143838e+46,8.868643974384348e+22,1.1387096333762343e+23
264,265,5.190699273993439e+21,1.3533992226333194e+24,3.3621017757352236e+23,3.485410906543846e+23,2.3451817537856735e+47,3.3621017757352236e+23,4.842707665950603e+23
265,266,3.372001187206787e+21,1.1717844764423197e+24,2.627439670632726e+23,2.5506077632072594e+23,1.3409039184547747e+47,2.627439670632726e+23,3.661835493922105e+23
266,267,9.694859808849158e+21,1.6389530978831426e+24,3.6405171850187765e+23,3.8871189473684166e+23,2.8363059085407593e+47,3.6405171850187765e+23,5.325697990442905e+23
267,268,1.1779573660057518e+22,1.964764565361454e+24,4.6956579876168726e+23,4.330674104581659e+23,4.08039421367643e+47,4.6956579876168726e+23,6.387796344340065e+23
268,269,1.6571405778141923e+21,1.7303116385263763e+24,4.359811015263186e+23,3.9652058990187556e+23,3.473080991042336e+47,4.359811015263186e+23,5.893285154345016e+23
269,270,1.3007239261670634e+22,3.6700607655436534e+23,1.2568667337046348e+23,9.646786927239732e+22,2.510318966488991e+46,1.2568667337046348e+23,1.584398613508921e+23
270,271,4.240773221152352e+20,4.589458663620707e+23,1.1983395553247286e+23,1.0117685921752011e+23,2.459693373968057e+46,1.1983395553247286e+23,1.568340962280861e+23
271,272,8.096894564685809e+20,4.881332251129939e+23,1.250550830270781e+23,1.0760645154127929e+23,2.7217922204215074e+46,1.250550830270781e+23,1.6497855073983125e+23
272,273,8.378809012421919e+18,2.3372512586101658e+23,9.79311892820933e+22,6.804970790067741e+22,1.42212805795727e+46,9.79311892820933e+22,1.1925301077781098e+23
273,274,4.775078141617756e+20,2.9892002553628527e+23,7.733322637660162e+22,7.440865924892529e+22,1.1517076473037388e+46,7.733322637660162e+22,1.0731764287868695e+23
274,275,5.463150497685169e+21,3.645966703106508e+23,1.2358950166817723e+23,8.840503550390363e+22,2.3089815225034845e+46,1.2358950166817723e+23,1.5195333239200396e+23
275,276,7.640332320261014e+21,4.022203196735168e+23,1.336107994507886e+23,9.234535996224513e+22,2.6379511236435473e+46,1.336107994507886e+23,1.624177060435083e+23
276,277,1.2281106368026043e+21,3.400995654362672e+23,1.124643622058619e+23,7.633268507788913e+22,1.8474911577571494e+46,1.124643622058619e+23,1.3592244692313147e+23
277,278,1.1726706070671078e+22,4.465534609779527e+23,1.450948743036248e+23,1.1817830484254028e+23,3.501863428464106e+46,1.450948743036248e+23,1.8713266493223746e+23
278,279,7.150206995082091e+20,2.0377425944214323e+23,8.796272120800303e+22,5.826609014314385e+22,1.1132377582885831e+46,8.796272120800303e+22,1.0551008284939326e+23
279,280,6.477195655376192e+22,3.5592230640847423e+24,1.040614923041429e+24,7.812419565544923e+23,1.693218412737611e+48,1.040614923041429e+24,1.301237262276796e+24
280,281,3.107151623403127e+21,3.517863790768761e+23,1.0042785908754978e+23,8.711839245302244e+22,1.7675369184507594e+46,1.0042785908754978e+23,1.3294874645707493e+23
281,282,5.291093680561559e+21,4.779323346588992e+23,1.671668845893039e+23,1.2348185046752043e+23,4.319253469817672e+46,1.671668845893039e+23,2.0782813740727388e+23
282,283,1.4887568218436451e+22,4.3030402996051095e+23,1.329734984657656e+23,1.0079137627336489e+23,2.7840852825303983e+46,1.329734984657656e+23,1.6685578451256635e+23
283,284,6.599400452760074e+20,5.7199048205297974e+23,1.749127323127674e+23,1.550917509282086e+23,5.464791513109532e+46,1.749127323127674e+23,2.3376893534234895e+23
284,285,8.900268669144138e+21,3.523021870152832e+23,1.1179913611604785e+23,9.091153543576626e+22,2.0763954111583178e+46,1.1179913611604785e+23,1.4409703019695852e+23
285,286,4.6957573276978706e+21,3.559108341851025e+23,1.1717249447432306e+23,8.76947192649485e+22,2.14197572482934e+46,1.1717249447432306e+23,1.4635490168864656e+23
286,287,2.534844272866654e+21,3.871566486303765e+23,1.1137737961106718e+23,8.966056415009497e+22,2.0443937452741061e+46,1.1137737961106718e+23,1.429822976901024e+23
287,288,2.8922592986331527e+21,3.8838437185753787e+23,1.1231880172595828e+23,8.826034234814287e+22,2.040540125256651e+46,1.1231880172595828e+23,1.4284747548545096e+23
288,289,1.2156845419874138e+21,3.412273726216157e+23,9.195229224739429e+22,8.553255940655245e+22,1.5771042768185635e+46,9.195229224739429e+22,1.255828123916073e+23
289,290,2.790805952495749e+22,2.2853056895414313e+24,5.1332229093878054e+23,4.660637573199117e+23,4.807152002617917e+47,5.1332229093878054e+23,6.933362822338029e+23
290,291,3.8946712502958125e+21,6.314051217163167e+23,1.60022411838146e+23,1.5603963495798532e+23,4.995553996831853e+46,1.60022411838146e+23,2.235073599869108e+23
291,292,3.461096558519185e+21,8.109330743536745e+23,1.9184571395705566e+23,1.9269225444027322e+23,7.393508288496742e+46,1.9184571395705566e+23,2.7191006396411188e+23
292,293,9.261632329580194e+21,8.238511469697271e+23,1.788269322188444e+23,1.97632051365233e+23,7.103749941363328e+46,1.788269322188444e+23,2.6652860899654522e+23
293,294,1.0853185783533876e+21,9.860623661855017e+23,3.036500391994322e+23,2.7256083352474128e+23,1.664927542775185e+47,3.036500391994322e+23,4.0803523656360674e+23
294,295,6.649720179636486e+21,6.673930182026824e+23,1.7931249954014162e+23,1.7010658016601835e+23,6.108922110711132e+46,1.7931249954014162e+23,2.471623375579526e+23
295,296,3.8286805930755154e+21,6.764716944891319e+23,1.675458321774409e+23,1.5708934585613936e+23,5.274866846154095e+46,1.675458321774409e+23,2.2967078277730702e+23
296,297,1.1050360635764901e+21,8.584250340858079e+23,2.207908091331244e+23,2.085112071522837e+23,9.22255049057623e+46,2.207908091331244e+23,3.036865240766575e+23
297,298,4.25199768983021e+20,9.134061640740368e+23,2.3435243919503852e+23,2.2626619831168483e+23,1.0611745825508692e+47,2.3435243919503852e+23,3.257567470599602e+23
298,299,7.645802219301969e+21,4.1584370085356557e+24,8.557416054476237e+23,8.004258594288126e+23,1.3729752517364295e+48,8.557416054476237e+23,1.1717402663288608e+24
299,300,1.8787039694724207e+22,1.6464787420444352e+24,5.3027033648886225e+23,4.285020482485643e+23,4.6480063511322605e+47,5.3027033648886225e+23,6.817628877500051e+23
300,301,4.4368277069192e+21,9.041560625121435e+23,3.1018159119917935e+23,2.839956027410448e+23,1.768661218951042e+47,3.1018159119917935e+23,4.2055454092793266e+23
301,302,7.547237339107846e+19,1.5866713017038272e+24,2.7231482291174455e+23,2.9491799186189485e+23,1.6113198470130744e+47,2.7231482291174455e+23,4.0141248697730796e+23
302,303,1.8666621045343926e+22,1.483449799924537e+24,3.936761290796505e+23,3.8682686200201464e+23,3.0461591577346336e+47,3.936761290796505e+23,5.519202077958945e+23
303,304,2.0624728924334974e+22,1.6181771829719957e+24,4.540047090703273e+23,4.220298608344628e+23,3.8422947929398856e+47,4.540047090703273e+23,6.198624680475408e+23
304,305,4.341701445737775e+18,8.358023884922688e+23,2.298847819206796e+23,2.2750352325772305e+23,1.0460486605339578e+47,2.298847819206796e+23,3.234267553147015e+23
305,306,1.4208299664869845e+22,1.4678527100244987e+24,2.596064278653054e+23,2.8364730528293367e+23,1.4785129118325374e+47,2.596064278653054e+23,3.8451435757752104e+23
306,307,9.295589631051893e+21,1.2959707467206213e+24,3.646700858040394e+23,3.515669565379314e+23,2.5658359640966924e+47,3.646700858040394e+23,5.065408141597962e+23
307,308,1.9267395522597633e+22,8.396597303098769e+23,2.0433375460122168e+23,1.910860890167984e+23,7.826617668516809e+46,2.0433375460122168e+23,2.7976092773146162e+23
308,309,2.3988907686313064e+22,9.733024095510418e+24,2.536680277942655e+24,2.356250405303667e+24,1.1986662804996922e+49,2.536680277942655e+24,3.4621760216656984e+24
309,310,9.871490826333699e+22,1.2582512678010001e+25,2.6905207088420073e+24,2.8162468149737677e+24,1.5170147807557586e+49,2.6905207088420073e+24,3.8948873934374004e+24
310,311,5.125164491489054e+22,2.9758978104069883e+24,7.47775823479941e+23,6.958364702747502e+23,1.0433570755455272e+48,7.47775823479941e+23,1.0214485183040441e+24
311,312,4.268307061522691e+22,3.04411937839144e+24,7.485425543028795e+23,7.062218162940996e+23,1.0590652094120167e+48,7.485425543028795e+23,1.0291089395258486e+24
312,313,3.8187091910026225e+21,6.972635219888865e+23,1.6438876603726246e+23,1.7142940923288916e+23,5.641170874919119e+46,1.6438876603726246e+23,2.37511491825535e+23
313,314,3.475652060241988e+21,1.0498711067829609e+24,2.4782677450502542e+23,2.513501884945882e+23,1.2459502741782974e+47,2.4782677450502542e+23,3.529802082522896e+23
314,315,7.977617511662373e+20,6.534776502612527e+23,1.2979955437639083e+23,1.4129881154838935e+23,3.68132784612969e+46,1.2979955437639083e+23,1.918678671932768e+23
315,316,1.4375243712465102e+21,1.1941715560788962e+24,1.847027413857756e+23,2.3646844092486642e+23,9.003242622885774e+46,1.847027413857756e+23,3.000540388477678e+23
316,317,3.3525994718800644e+22,4.1575003981206525e+24,5.874667919531715e+23,7.7532452040811e+23,9.462453435938169e+47,5.874667919531715e+23,9.72751429499755e+23
317,318,1.559155281528679e+21,4.762216218989886e+23,9.860092895489333e+22,9.945339145089746e+22,1.9613120261853363e+46,9.860092895489333e+22,1.4004685023895883e+23
318,319,1.0457537308733135e+23,2.160687603157931e+24,7.802190099318168e+23,5.951089712525352e+23,9.628963911242352e+47,7.802190099318168e+23,9.812728423452038e+23
319,320,6.946226329735166e+21,4.166921140750968e+23,1.2502296903479027e+23,1.0382633182765376e+23,2.64106499670602e+46,1.2502296903479027e+23,1.6251353779627162e+23
320,321,7.873303549927343e+20,4.733300744966156e+23,1.2951272625319165e+23,1.0364605843606805e+23,2.7516051690866997e+46,1.2951272625319165e+23,1.6587963012638713e+23
321,322,3.856912265487876e+21,4.606360259718548e+23,1.1461985010436676e+23,9.582544844905806e+22,2.2320226608410585e+46,1.1461985010436676e+23,1.4939955357500432e+23
322,323,6.980073553843979e+21,5.4018843200778044e+23,1.7301623003140788e+23,1.5046101203678431e+23,5.25731319974144e+46,1.7301623003140788e+23,2.292883163124855e+23
323,324,5.0542362083297775e+20,4.179870161485065e+23,9.848248257632676e+22,7.903907429172455e+22,1.5945974639289254e+46,9.848248257632676e+22,1.2627737184186743e+23
324,325,2.589317272783371e+21,3.7872012930572004e+23,7.141982142859756e+22,7.57690734221834e+22,1.0841743380148983e+46,7.141982142859756e+22,1.041236926935891e+23
325,326,4.349964557226292e+20,3.757299734162284e+23,6.728340586558411e+22,7.3453485573079506e+22,9.92247124770752e+45,6.728340586558411e+22,9.961160197340227e+22
326,327,9.047713209293776e+20,6.47701614294708e+23,1.516644528537056e+23,1.6377353645456128e+23,4.982387750224741e+46,1.516644528537056e+23,2.2321262845602488e+23
327,328,5.2234587399036024e+20,4.0684070335929846e+23,7.298256991503986e+22,7.805849425581759e+22,1.1419584036889187e+46,7.298256991503986e+22,1.0686245382214086e+23
