,polynomial-regression-model-degree,residuals-min,residuals-max,residuals-µ,residuals-σ,mse,mae,rmse
17,18,7.689345126627483e+23,4.4391307059180584e+25,1.710500716439163e+25,1.1048113968675454e+25,4.146420923587307e+50,1.710500716439163e+25,2.0362762395086054e+25
18,19,6.680266499219131e+22,2.335203173578274e+24,7.86085699807213e+23,5.631755333598403e+23,9.350974088165362e+47,7.86085699807213e+23,9.67004347878817e+23
19,20,1.1255233492854306e+21,4.116498197262939e+23,1.624727449783859e+23,1.1902212535657595e+23,4.0563659185208095e+46,1.624727449783859e+23,2.0140421838980458e+23
20,21,5.550841729943404e+21,4.196902642466199e+23,1.7362949999727296e+23,1.2261270808720342e+23,4.518107945378075e+46,1.7362949999727296e+23,2.1255841421543574e+23
21,22,3.6884351519203497e+22,1.6727500486311943e+24,4.106865990557408e+23,3.605365205635672e+23,2.986500653040542e+47,4.106865990557408e+23,5.464888519485592e+23
22,23,1.895971735181646e+22,1.1667077137675952e+24,4.992923225133628e+23,3.337205117183715e+23,3.6066220326235962e+47,4.992923225133628e+23,6.0055158251590646e+23
23,24,1.1343979316254279e+23,1.1286754769755821e+24,5.1823786683822006e+23,3.110969555285292e+23,3.653518023641484e+47,5.1823786683822006e+23,6.044433822651617e+23
24,25,6.200821618478202e+21,6.914535206423133e+24,1.529254187656046e+24,1.42711255831924e+24,4.3752686245760384e+48,1.529254187656046e+24,2.0917142789052328e+24
25,26,9.82057700439779e+19,6.426049636393525e+23,2.366570302886286e+23,1.7728005226414297e+23,8.743476691581016e+46,2.366570302886286e+23,2.956937045589746e+23
26,27,5.017015922003336e+21,5.3662244618818886e+23,1.9797247613351275e+23,1.4565756271114127e+23,6.040922688138432e+46,1.9797247613351275e+23,2.457828856559877e+23
27,28,7.336661888795277e+20,5.131473807247686e+23,1.9240741865348565e+23,1.4007025719847784e+23,5.664029170454544e+46,1.9240741865348565e+23,2.3799220933582142e+23
28,29,1.263384460294804e+22,3.892435104323507e+23,1.4258497360101388e+23,9.800647012814501e+22,2.9935742883780805e+46,1.4258497360101388e+23,1.7301948700588846e+23
29,30,4.980555681912326e+22,3.297450678043147e+24,1.3263630927189278e+24,7.900247658189751e+23,2.383378184334246e+48,1.3263630927189278e+24,1.5438193496436836e+24
30,31,1.9703567520385823e+22,3.6183268032377846e+24,1.4545269248345852e+24,8.599904245622605e+23,2.8552321054075318e+48,1.4545269248345852e+24,1.6897432069422655e+24
31,32,5.204241495626078e+20,2.8167214284513484e+23,1.2764991533169673e+23,9.031943880967823e+22,2.445210191108455e+46,1.2764991533169673e+23,1.563716787371823e+23
32,33,1.8744137716288843e+21,3.2627262892054784e+23,1.4108552652865353e+23,9.913255623502963e+22,2.973238950155871e+46,1.4108552652865353e+23,1.7243082526497027e+23
33,34,8.360374648079835e+21,9.679762158000452e+23,3.6716446363081154e+23,2.576053517923313e+23,2.0117026062535233e+47,3.6716446363081154e+23,4.485200782856352e+23
34,35,8.230149297962545e+21,4.35424758572737e+23,1.5858318401813503e+23,1.1377259260417929e+23,3.809282908120623e+46,1.5858318401813503e+23,1.9517384323009636e+23
35,36,2.446767326528939e+21,5.5257761573157315e+23,1.7192165308608336e+23,1.3364257392617693e+23,4.741739236546527e+46,1.7192165308608336e+23,2.1775534979757734e+23
36,37,1.0551184977837844e+21,4.241682133148698e+23,1.4921860334132563e+23,1.2163802649040509e+23,3.706200107161637e+46,1.4921860334132563e+23,1.9251493726881655e+23
37,38,9.910921386850733e+21,3.6492297921632185e+23,1.1760241899846528e+23,8.913389958544925e+22,2.1775181009599534e+46,1.1760241899846528e+23,1.475641589600928e+23
38,39,6.923224468268725e+20,4.197015384499261e+23,1.357057488007114e+23,1.119360957411245e+23,3.0945739787327975e+46,1.357057488007114e+23,1.75914012481462e+23
39,40,8.071709388951471e+21,3.1088325614966286e+23,1.2193881353976521e+23,7.812249332611553e+22,2.0972198210974593e+46,1.2193881353976521e+23,1.4481781040664367e+23
40,41,4.360120406917763e+21,4.091980261636738e+23,1.197832069174321e+23,1.0197659393104333e+23,2.474724236920125e+46,1.197832069174321e+23,1.573125626553749e+23
41,42,3.278001004594861e+22,5.227905193595917e+23,1.7511793639261652e+23,1.1505488901867955e+23,4.3903919133509145e+46,1.7511793639261652e+23,2.0953262069069135e+23
42,43,1.5794752515794104e+21,2.841613809725388e+23,8.783487206712859e+22,8.025239758995202e+22,1.4155412069984582e+46,8.783487206712859e+22,1.1897651898582586e+23
43,44,1.4023564736979377e+20,1.903302885386139e+23,6.5484010537802015e+22,5.323778265416057e+22,7.122417138046606e+45,6.5484010537802015e+22,8.439441414007569e+22
44,45,2.80180462969617e+21,2.131272914524466e+23,6.97756242000801e+22,5.411925783640946e+22,7.797531801274569e+45,6.97756242000801e+22,8.830363413401833e+22
45,46,1.7211832660347553e+21,2.646809940986606e+23,6.884781111443464e+22,5.670860375217585e+22,7.955886834770162e+45,6.884781111443464e+22,8.919577812189409e+22
46,47,2.732650098753966e+20,2.481180958028899e+23,6.502290311918192e+22,4.851539093462251e+22,6.581721087585771e+45,6.502290311918192e+22,8.112780711683123e+22
47,48,5.611648876795339e+21,2.2487619609808004e+23,5.930011805237367e+22,4.163979774930862e+22,5.2503767576287796e+45,5.930011805237367e+22,7.245948355894334e+22
48,49,4.99651204556498e+21,3.3478042659050546e+23,8.73175556513789e+22,7.20858219362482e+22,1.2820721249156135e+46,8.73175556513789e+22,1.1322862380668652e+23
49,50,9.500662723153756e+19,1.8830775924686692e+23,5.530479302181227e+22,4.6749168476455585e+22,5.244104884425525e+45,5.530479302181227e+22,7.241619214254175e+22
50,51,3.8135339399217634e+21,1.5336065156349905e+23,5.734474544185724e+22,3.917691390693664e+22,4.823250413062931e+45,5.734474544185724e+22,6.944962500304038e+22
51,52,1.8793717225884536e+21,1.8991451484823873e+23,7.4982225865817385e+22,5.0875520973365985e+22,8.210652830103854e+45,7.4982225865817385e+22,9.061265270426562e+22
52,53,2.537249465192936e+22,1.1260753582554752e+24,4.092689002157076e+23,2.6713787742666273e+23,2.388636782397975e+47,4.092689002157076e+23,4.887368189934103e+23
53,54,1.9367338162834432e+21,1.6484485624582604e+23,6.2340665091866394e+22,4.640174379139306e+22,6.039480350978333e+45,6.2340665091866394e+22,7.771409364444993e+22
54,55,6.411986712279332e+20,1.876911822866848e+23,6.490573982970663e+22,4.610820308520684e+22,6.338721454588243e+45,6.490573982970663e+22,7.961608791311115e+22
55,56,1.8375292940464077e+21,1.7022936506355072e+23,6.492050881368477e+22,4.067000518620729e+22,5.868721786473849e+45,6.492050881368477e+22,7.660758308727569e+22
56,57,5.389573879599309e+21,1.5334730617607545e+23,6.846327569679645e+22,4.151397985902531e+22,6.410630642871118e+45,6.846327569679645e+22,8.006641395036448e+22
57,58,1.0259880937787511e+21,2.5342561789889408e+23,1.0269196791606726e+23,6.642039526634431e+22,1.4957309181811998e+46,1.0269196791606726e+23,1.2230007842111958e+23
